 "x_c",  "y_c",  "u_c",  "v_c",  "x",  "y",  "u",  "v",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "Xp",  "Yp"
-5.71051,41.8044,-0.193911,1.01086,893,65,-4.44836,-23.1894,-0.000716503,0.00411821,-5.06753e-05,0.00411874,-0.000717034,-1.56032,0.0105261,-5.90442,42.8152
-5.44896,41.8044,-0.194005,1.0126,899,65,-4.4505,-23.2291,-0.000693666,0.00397267,9.60757e-05,0.00397465,-0.000695643,1.55022,0.0107732,-5.64296,42.817
-5.18741,41.8044,-0.194289,1.01415,905,65,-4.45701,-23.2647,-0.000673092,0.00384508,0.00024396,0.00385822,-0.000686226,1.51701,0.0132308,-5.38169,42.8185
-4.92586,41.8044,-0.193273,1.0158,911,65,-4.43373,-23.3026,-0.000770862,0.00374445,0.000421919,0.00378353,-0.000809949,1.47842,0.0154388,-5.11913,42.8202
-4.66431,41.8044,-0.19161,1.01818,917,65,-4.39555,-23.3573,-0.000954973,0.00367773,0.000627052,0.00376111,-0.00103835,1.43861,0.0155993,-4.85592,42.8226
-4.40276,41.8044,-0.191826,1.02056,923,65,-4.40053,-23.4118,-0.001147,0.00356833,0.000788769,0.00369677,-0.00127545,1.40937,0.014597,-4.59458,42.8249
-4.14121,41.8044,-0.192884,1.02319,929,65,-4.42481,-23.4721,-0.00124778,0.0034288,0.000870937,0.00358574,-0.00140472,1.39252,0.0104256,-4.33409,42.8276
-3.87966,41.8044,-0.194574,1.0261,935,65,-4.46359,-23.539,-0.00130035,0.00330357,0.000909752,0.00347682,-0.0014736,1.38261,0.0102237,-4.07423,42.8305
-3.61811,41.8044,-0.195548,1.02767,941,65,-4.48592,-23.575,-0.00139448,0.00322512,0.000944639,0.00341082,-0.00158018,1.37669,0.0112161,-3.81365,42.8321
-3.35656,41.8044,-0.195702,1.02898,947,65,-4.48946,-23.605,-0.00145737,0.00319098,0.000961313,0.00338194,-0.00164834,1.3747,0.0107402,-3.55226,42.8334
-3.09501,41.8044,-0.195766,1.03039,953,65,-4.49089,-23.6374,-0.00147383,0.00323718,0.000968962,0.00342869,-0.00166534,1.37567,0.00887159,-3.29077,42.8348
-2.83346,41.8044,-0.196601,1.03287,959,65,-4.51009,-23.6941,-0.00148385,0.00335343,0.000908918,0.00351857,-0.00164899,1.39106,0.00751097,-3.03006,42.8372
-2.57191,41.8044,-0.197546,1.03518,965,65,-4.53173,-23.7471,-0.00145851,0.00353345,0.000796678,0.00365751,-0.00158257,1.41631,0.00748941,-2.76945,42.8396
-2.31036,41.8044,-0.197876,1.03725,971,65,-4.5393,-23.7947,-0.00141539,0.00376527,0.000691498,0.00385598,-0.0015061,1.44036,0.00773169,-2.50823,42.8416
-2.04881,41.8044,-0.19736,1.03959,977,65,-4.52747,-23.8485,-0.00139288,0.0040608,0.000632478,0.00413319,-0.00146527,1.45684,0.00818228,-2.24617,42.844
-1.78726,41.8044,-0.197533,1.04232,983,65,-4.53143,-23.9109,-0.00144607,0.00441615,0.000639997,0.00448521,-0.00151513,1.46331,0.00952912,-1.98479,42.8467
-1.52571,41.8044,-0.197729,1.04489,989,65,-4.53594,-23.9699,-0.00160074,0.00479623,0.000694172,0.00487069,-0.0016752,1.46394,0.0100141,-1.72344,42.8493
-1.26416,41.8044,-0.197735,1.04737,995,65,-4.53604,-24.0269,-0.00176017,0.00510894,0.000783859,0.00519725,-0.00184848,1.4586,0.00960866,-1.46189,42.8518
-1.00261,41.8044,-0.198248,1.04891,1001,65,-4.54788,-24.0621,-0.00187619,0.00529567,0.000880572,0.0054022,-0.00198273,1.4504,0.00880423,-1.20086,42.8533
-0.741058,41.8044,-0.198756,1.04995,1007,65,-4.5595,-24.086,-0.00200388,0.00536257,0.000977712,0.00549012,-0.00213144,1.44106,0.00849793,-0.939814,42.8543
-0.479508,41.8044,-0.199898,1.05099,1013,65,-4.58572,-24.1099,-0.00214417,0.0053621,0.00107766,0.00551375,-0.00229582,1.43099,0.0082932,-0.679406,42.8554
-0.217958,41.8044,-0.200874,1.05288,1019,65,-4.60807,-24.1532,-0.00222608,0.00528498,0.00117528,0.00546459,-0.00240568,1.41915,0.00768999,-0.418833,42.8573
0.0435916,41.8044,-0.201465,1.05569,1025,65,-4.62167,-24.2178,-0.00218269,0.00513466,0.0012842,0.00535349,-0.00240152,1.40201,0.00736889,-0.157873,42.8601
0.305141,41.8044,-0.201776,1.05791,1031,65,-4.62873,-24.2686,-0.00205864,0.00495339,0.00141155,0.00522687,-0.00233212,1.37942,0.00783567,0.103365,42.8623
0.566691,41.8044,-0.201909,1.05963,1037,65,-4.63182,-24.308,-0.00196258,0.00483513,0.00154556,0.00517004,-0.00229749,1.35741,0.00853886,0.364782,42.864
