 "x_c",  "y_c",  "u_c",  "v_c",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "Xp",  "Yp"
0.0131649,1.70203,0.0029177,-0.022663,0.000628349,-0.00500755,0.00013655,0.000631656,-0.00501086,0.0242097,0.00824401,607,119,1.55137,12.0503,0.0160826,1.67937
0.0319719,1.70203,0.00298267,-0.0225675,0.00110035,-0.00540166,-3.28719e-05,0.00110051,-0.00540182,-0.00505549,0.00806919,617,119,1.58593,11.9995,0.0349545,1.67946
0.0507788,1.70203,0.003038,-0.0225192,0.00141934,-0.00591512,-0.000311623,0.00143256,-0.00592834,-0.0423857,0.00807686,627,119,1.61536,11.9738,0.0538168,1.67951
0.0695858,1.70203,0.00308035,-0.0225557,0.00152838,-0.00649459,-0.000677217,0.00158514,-0.00655135,-0.0836213,0.00855433,637,119,1.63787,11.9933,0.0726662,1.67948
0.0883928,1.70203,0.00310572,-0.0225983,0.00146568,-0.00709599,-0.00109723,0.00160406,-0.00723437,-0.125456,0.00928639,647,119,1.65134,12.0159,0.0914985,1.67943
0.1072,1.70203,0.00314441,-0.0226507,0.00134601,-0.00767097,-0.00147501,0.00158116,-0.00790613,-0.158093,0.0099508,657,119,1.67193,12.0438,0.110344,1.67938
0.126007,1.70203,0.00316438,-0.0226956,0.0012028,-0.00820402,-0.00173803,0.00151366,-0.00851487,-0.176981,0.0104927,667,119,1.68257,12.0676,0.129171,1.67934
0.144814,1.70203,0.0031723,-0.0227685,0.00106254,-0.00863678,-0.001865,0.00140879,-0.00898302,-0.183564,0.0107882,677,119,1.68679,12.1064,0.147986,1.67926
0.163621,1.70203,0.00316518,-0.0228142,0.00102959,-0.00897126,-0.00184037,0.0013575,-0.00929918,-0.176329,0.0106256,687,119,1.68299,12.1307,0.166786,1.67922
0.182428,1.70203,0.00316691,-0.0229028,0.00116271,-0.00916016,-0.00163908,0.00141672,-0.00941416,-0.153745,0.010466,697,119,1.6839,12.1778,0.185595,1.67913
0.201235,1.70203,0.00312604,-0.0229816,0.00141062,-0.00921149,-0.00129088,0.00156524,-0.00936612,-0.119216,0.010226,707,119,1.66214,12.2197,0.204361,1.67905
0.220042,1.70203,0.00309677,-0.0230372,0.00168238,-0.00909875,-0.000873536,0.0017527,-0.00916907,-0.0803263,0.00985374,717,119,1.64659,12.2493,0.223138,1.67899
0.238849,1.70203,0.00309195,-0.0230039,0.00186424,-0.0088574,-0.000425481,0.0018811,-0.00887426,-0.0396013,0.00974003,727,119,1.64402,12.2316,0.241941,1.67903
0.257656,1.70203,0.0031498,-0.0228709,0.00193431,-0.00857423,7.90304e-06,0.00193431,-0.00857424,0.000752058,0.00995688,737,119,1.6748,12.1609,0.260805,1.67916
0.276463,1.70203,0.00324358,-0.0226855,0.00189996,-0.00823155,0.000395067,0.00191534,-0.00824693,0.0389151,0.00998688,747,119,1.72469,12.0623,0.279706,1.67935
0.29527,1.70203,0.00336021,-0.0225549,0.00170342,-0.00786379,0.000728339,0.00175855,-0.00791892,0.0755485,0.00986967,757,119,1.78668,11.9928,0.29863,1.67948
0.314077,1.70203,0.00349187,-0.0224314,0.00136246,-0.00755584,0.000978532,0.00146856,-0.00766194,0.10801,0.00985764,767,119,1.85671,11.9272,0.317568,1.6796
0.332884,1.70203,0.00363444,-0.0223432,0.00093281,-0.00734461,0.00109822,0.00107604,-0.00748784,0.129688,0.00968204,777,119,1.93253,11.8803,0.336518,1.67969
0.351691,1.70203,0.0036916,-0.0223551,0.000462528,-0.00722338,0.00108606,0.000613047,-0.0073739,0.137714,0.0096381,787,119,1.9629,11.8866,0.355382,1.67968
0.370498,1.70203,0.00367932,-0.0224121,-2.11925e-05,-0.00715199,0.000961338,0.000106137,-0.00727932,0.131683,0.00955083,797,119,1.95639,11.9169,0.374177,1.67962
0.389304,1.70203,0.00356855,-0.0224715,-0.000473314,-0.00707529,0.000753346,-0.000388442,-0.00716016,0.112188,0.00968813,807,119,1.89748,11.9485,0.392873,1.67956
0.408111,1.70203,0.00348166,-0.0224831,-0.000827253,-0.00692742,0.000498098,-0.000786849,-0.00696782,0.0809388,0.00987433,817,119,1.85123,11.9546,0.411593,1.67955
0.426918,1.70203,0.00337949,-0.0224199,-0.00101572,-0.00666764,0.000264477,-0.00100337,-0.00667999,0.0466583,0.0102712,827,119,1.79696,11.9211,0.430298,1.67961
0.445725,1.70203,0.00328743,-0.0223584,-0.00102212,-0.00626509,0.000103786,-0.00102006,-0.00626715,0.0197849,0.0103756,837,119,1.748,11.8884,0.449013,1.67967
0.464532,1.70203,0.00324599,-0.0222941,-0.000867073,-0.00574608,1.55759e-05,-0.000867023,-0.00574613,0.00319238,0.0101308,847,119,1.72595,11.8542,0.467778,1.67974
0.483339,1.70203,0.00325633,-0.0222601,-0.000515951,-0.00514512,6.61716e-06,-0.000515942,-0.00514513,0.00142944,0.0103131,857,119,1.73145,11.8361,0.486596,1.67977
0.502146,1.70203,0.00328043,-0.0222255,6.45121e-06,-0.00453428,6.93909e-05,7.51158e-06,-0.00453534,0.0152771,0.0102961,867,119,1.74424,11.8177,0.505427,1.67981
0.520953,1.70203,0.00330913,-0.0221666,0.000591854,-0.00398654,0.000173038,0.000598385,-0.00399307,0.0377228,0.00994468,877,119,1.7595,11.7864,0.524262,1.67987
0.53976,1.70203,0.00334793,-0.0220867,0.00107072,-0.00351378,0.000310816,0.0010917,-0.00353476,0.0673861,0.00978288,887,119,1.78012,11.7439,0.543108,1.67994
0.558567,1.70203,0.00337777,-0.0220364,0.00140469,-0.00319464,0.000444183,0.0014472,-0.00323714,0.0954007,0.00967694,897,119,1.796,11.7171,0.561945,1.68
0.577374,1.70203,0.00340337,-0.0219686,0.00162216,-0.00302391,0.000567386,0.00169045,-0.00309219,0.119777,0.00964338,907,119,1.80963,11.6811,0.580778,1.68006
0.596181,1.70203,0.00343035,-0.0218901,0.00165027,-0.00296273,0.000697742,0.0017535,-0.00306596,0.146879,0.00968803,917,119,1.82399,11.6394,0.599612,1.68014
0.614988,1.70203,0.00346421,-0.0218231,0.00152923,-0.00298805,0.000852593,0.0016848,-0.00314361,0.180472,0.00983924,927,119,1.84199,11.6037,0.618452,1.68021
0.633795,1.70203,0.00353848,-0.0217972,0.00132332,-0.00311884,0.00100495,0.00154009,-0.00333561,0.212448,0.00986833,937,119,1.88148,11.5899,0.637334,1.68023
0.652602,1.70203,0.0036124,-0.021801,0.00106893,-0.00331973,0.00112261,0.00133942,-0.00359022,0.236441,0.00982709,947,119,1.92076,11.5919,0.656215,1.68023
0.671409,1.70203,0.0036636,-0.0217881,0.000779345,-0.00355059,0.0011921,0.00108585,-0.0038571,0.251663,0.00961218,957,119,1.948,11.5851,0.675073,1.68024
0.690216,1.70203,0.00360127,-0.0217791,0.000469041,-0.00377997,0.00120165,0.00078533,-0.00409626,0.257375,0.00919116,967,119,1.91486,11.5804,0.693817,1.68025
0.709023,1.70203,0.00360448,-0.0217125,0.000184695,-0.00400502,0.00114575,0.000477551,-0.00429787,0.250244,0.00887753,977,119,1.91654,11.5449,0.712628,1.68032
0.72783,1.70203,0.00359243,-0.0216787,-5.85051e-05,-0.00420281,0.00101186,0.000175352,-0.00443667,0.227128,0.00867936,987,119,1.91018,11.5269,0.731423,1.68035
0.746637,1.70203,0.00356017,-0.0216292,-0.000240157,-0.00438515,0.000830631,-7.99e-05,-0.00454541,0.190593,0.00883694,997,119,1.89302,11.5006,0.750197,1.6804
0.765444,1.70203,0.00354789,-0.0215942,-0.000338172,-0.00456298,0.000655499,-0.000238805,-0.00466235,0.150444,0.00895945,1007,119,1.8865,11.482,0.768992,1.68044
0.784251,1.70203,0.00355156,-0.0215682,-0.000341639,-0.00475646,0.000503294,-0.00028499,-0.00481311,0.112085,0.00923996,1017,119,1.88843,11.4682,0.787803,1.68046
0.803058,1.70203,0.00355569,-0.0215511,-0.000236315,-0.00498174,0.000347668,-0.000210978,-0.00500707,0.0727463,0.0095524,1027,119,1.89058,11.4591,0.806614,1.68048
0.821865,1.70203,0.0035332,-0.0215608,-6.70762e-05,-0.00526785,0.000183993,-6.05751e-05,-0.00527436,0.0353192,0.00968538,1037,119,1.87865,11.4642,0.825398,1.68047
0.840672,1.70203,0.00349577,-0.0216385,8.13397e-05,-0.00553771,4.37267e-05,8.168e-05,-0.00553805,0.00778124,0.00970371,1047,119,1.85879,11.5055,0.844168,1.68039
0.859479,1.70203,0.00349049,-0.0216603,0.000195436,-0.00583698,-0.000100152,0.000197099,-0.00583864,-0.0165962,0.00954159,1057,119,1.8559,11.5172,0.86297,1.68037
0.878286,1.70203,0.00349922,-0.0217074,0.000286574,-0.00610979,-0.000255441,0.000296759,-0.00611998,-0.0398507,0.00963624,1067,119,1.86058,11.5422,0.881785,1.68032
0.897093,1.70203,0.00352424,-0.0216943,0.000327978,-0.00639487,-0.000388759,0.000350384,-0.00641727,-0.0575708,0.00986726,1077,119,1.87385,11.5352,0.900617,1.68034
0.9159,1.70203,0.00357636,-0.0216176,0.000248796,-0.00653375,-0.000524951,0.000289185,-0.00657414,-0.0767879,0.00997363,1087,119,1.90162,11.4944,0.919476,1.68041
0.934707,1.70203,0.00363788,-0.021522,5.07238e-05,-0.00650353,-0.000668019,0.000118116,-0.00657092,-0.100544,0.0100922,1097,119,1.93435,11.4437,0.938345,1.68051
0.953514,1.70203,0.00367508,-0.0214701,-0.000274271,-0.00630281,-0.000836932,-0.000160238,-0.00641685,-0.135417,0.0100451,1107,119,1.95407,11.416,0.957189,1.68056
0.972321,1.70203,0.00366084,-0.0214045,-0.000756428,-0.00593896,-0.00105543,-0.000549733,-0.00614565,-0.193392,0.00986604,1117,119,1.94655,11.3812,0.975982,1.68063
0.991128,1.70203,0.00364316,-0.0214412,-0.00140629,-0.00544406,-0.00136829,-0.000986294,-0.00586406,-0.297817,0.00975878,1127,119,1.93714,11.4007,0.994771,1.68059
1.00993,1.70203,0.00361263,-0.0215147,-0.00219235,-0.00487844,-0.00181439,-0.00127801,-0.00579278,-0.466792,0.010543,1137,119,1.92095,11.4397,1.01355,1.68052
-1.04003,1.68322,0.00294493,-0.0241647,0.000969439,-0.00600102,0.00109189,0.00113647,-0.00616806,0.151802,0.00952449,47,129,1.56587,12.8488,-1.03708,1.65906
-1.02122,1.68322,0.0029742,-0.024101,0.00132753,-0.00613357,0.0004427,0.0013537,-0.00615974,0.0590583,0.00944842,57,129,1.58144,12.8149,-1.01824,1.65912
-1.00241,1.68322,0.0029993,-0.0240593,0.00166836,-0.0062187,-6.78456e-05,0.00166894,-0.00621929,-0.00860129,0.00949809,67,129,1.59478,12.7927,-0.999413,1.65917
-0.983605,1.68322,0.00305395,-0.0240631,0.00198529,-0.00628129,-0.000400781,0.00200468,-0.00630067,-0.048331,0.00936898,77,129,1.62384,12.7947,-0.980551,1.65916
-0.964798,1.68322,0.00312004,-0.0240712,0.00222895,-0.00633254,-0.00052499,0.00226103,-0.00636462,-0.0610152,0.00929857,87,129,1.65898,12.7991,-0.961678,1.65915
-0.945991,1.68322,0.00317081,-0.0240853,0.00233283,-0.00638807,-0.000443364,0.00235532,-0.00641055,-0.0506652,0.00945851,97,129,1.68597,12.8066,-0.94282,1.65914
-0.927184,1.68322,0.00321817,-0.0241565,0.0022501,-0.00642338,-0.00021691,0.00225553,-0.0064288,-0.0249876,0.00951846,107,129,1.71116,12.8445,-0.923966,1.65907
-0.908377,1.68322,0.00327455,-0.0242567,0.00196903,-0.00640051,9.67806e-05,0.00197015,-0.00640163,0.0115614,0.00972372,117,129,1.74113,12.8977,-0.905103,1.65897
-0.88957,1.68322,0.00332635,-0.0243221,0.00155796,-0.00633398,0.000391156,0.0015773,-0.00635332,0.0494026,0.0100076,127,129,1.76867,12.9325,-0.886244,1.6589
-0.870763,1.68322,0.0033885,-0.0243084,0.00101972,-0.00617364,0.000700184,0.00108724,-0.00624116,0.0961351,0.0102915,137,129,1.80172,12.9252,-0.867375,1.65892
-0.851956,1.68322,0.00343838,-0.0242393,0.000379908,-0.0059614,0.000985006,0.000529387,-0.00611088,0.150605,0.0103248,147,129,1.82825,12.8884,-0.848518,1.65899
