"Average",,,,,,,,,,,"R0",,,,,,,,,,"Analog",,
"Index [1]","X [mm]","Y [mm]","U [mm]","V [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","X [mm]","Y [mm]","U [mm]","V [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","Time_0","deplacement_(mm)","Charge_(KN)"
41,-3.33674,-0.789118,0.039174,0.143778,-0.000333232,0.00135129,0.000163503,0.00138419,-0.000366147,1.05081,-2.96421,0.0873111,0.0531529,0.143224,-0.000317123,0.00154045,0.000209016,0.00157294,-0.000349606,1.26385,102.182,0.4976,2.2821
42,-3.33674,-0.789118,0.0402984,0.149801,-0.000337951,0.00138493,0.000162726,0.0014184,-0.000371422,1.04265,-2.96421,0.0873111,0.0545648,0.149163,-0.000325937,0.00157376,0.000212992,0.00160644,-0.000358619,1.28773,102.682,0.5124,2.3392
43,-3.33674,-0.789118,0.0417782,0.157042,-0.000346086,0.00141004,0.000164648,0.00144316,-0.000379205,1.03609,-2.96421,0.0873111,0.0562917,0.156355,-0.000333107,0.00160052,0.000215402,0.00163372,-0.000366314,1.27877,103.182,0.532,2.3865
44,-3.33674,-0.789118,0.0430938,0.163474,-0.000359547,0.00144137,0.000167656,0.00147383,-0.000392003,1.04538,-2.96421,0.0873111,0.0578824,0.162772,-0.000345307,0.00162984,0.000216586,0.00166286,-0.000378321,1.2461,103.682,0.5462,2.4454
45,-3.33674,-0.789118,0.0439814,0.171515,-0.000367836,0.00147334,0.000170366,0.00150693,-0.000401422,1.04245,-2.96421,0.0873111,0.0590806,0.170827,-0.000357076,0.00166338,0.000221866,0.00169739,-0.000391077,1.27874,104.182,0.5636,2.5034
46,-3.33674,-0.789118,0.0453808,0.178273,-0.000377954,0.00150143,0.000172547,0.00153433,-0.000410848,1.04065,-2.96421,0.0873111,0.0607586,0.177533,-0.000365064,0.00169209,0.000222896,0.00172596,-0.000398933,1.25931,104.682,0.5791,2.5507
47,-3.33674,-0.789118,0.0466472,0.185874,-0.000388993,0.0015326,0.000175284,0.0015665,-0.000422895,1.024,-2.96421,0.0873111,0.0622823,0.185143,-0.000377286,0.00172521,0.00022728,0.00175955,-0.000411629,1.25835,105.182,0.5965,2.6078
48,-3.33674,-0.789118,0.0477497,0.193626,-0.000397609,0.00156042,0.000178851,0.0015939,-0.0004311,1.03947,-2.96421,0.0873111,0.0636547,0.192904,-0.000383072,0.00175514,0.000229895,0.0017898,-0.000417733,1.26287,105.682,0.6135,2.6387
49,-3.33674,-0.789118,0.0481724,0.201109,-0.000401003,0.00159247,0.000179482,0.00162652,-0.000435048,1.02526,-2.96421,0.0873111,0.0643199,0.20037,-0.000389912,0.00178777,0.000231689,0.00182262,-0.00042476,1.24053,106.182,0.6303,2.7131
50,-3.33674,-0.789118,0.0494161,0.208807,-0.000416578,0.00162207,0.000179741,0.00165561,-0.000450133,1.01536,-2.96421,0.0873111,0.0658154,0.208057,-0.000403552,0.00181984,0.000232413,0.00185435,-0.000438062,1.24311,106.682,0.6441,2.7691
51,-3.33674,-0.789118,0.0500626,0.216778,-0.00042627,0.00165371,0.000184402,0.00168863,-0.00046119,1.00374,-2.96421,0.0873111,0.0666857,0.216028,-0.000413412,0.00185327,0.000234206,0.00188832,-0.000448462,1.21577,107.182,0.6628,2.8242
52,-3.33674,-0.789118,0.0512469,0.22368,-0.000439134,0.00168469,0.000185798,0.00171918,-0.000473614,1.00589,-2.96421,0.0873111,0.0680976,0.222931,-0.000426753,0.00188253,0.000240662,0.00191843,-0.000462659,1.24537,107.682,0.6805,2.8947
53,-3.33674,-0.789118,0.0509993,0.231916,-0.000447104,0.00171657,0.0001889,0.00175162,-0.000482158,1.00433,-2.96421,0.0873111,0.0680534,0.231137,-0.000435413,0.00191424,0.000243394,0.00195064,-0.00047181,1.23059,108.182,0.696,2.9392
54,-3.33674,-0.789118,0.0517991,0.239,-0.000456709,0.00175093,0.000190687,0.00178586,-0.000491642,1.00314,-2.96421,0.0873111,0.0690272,0.238221,-0.000442862,0.0019507,0.000245707,0.00198743,-0.000479586,1.21545,108.682,0.714,2.9904
55,-3.33674,-0.789118,0.0529017,0.253424,-0.000474126,0.00180222,0.000195321,0.00183781,-0.00050971,1.00507,-2.96421,0.0873111,0.0703864,0.252602,-0.000461677,0.00200828,0.000249416,0.00204481,-0.000498219,1.20975,109.618,0.7446,3.1024
56,-3.33674,-0.789118,0.0526192,0.260459,-0.000487102,0.00183745,0.000197633,0.00187219,-0.000521843,1.00721,-2.96421,0.0873111,0.0702231,0.259648,-0.00047212,0.00203871,0.000252624,0.00207586,-0.000509272,1.21927,110.216,0.7633,3.1672
57,-3.33674,-0.789118,0.0531108,0.279091,-0.000511009,0.00191514,0.000204276,0.00195141,-0.000547283,1.00698,-2.96421,0.0873111,0.0709695,0.278261,-0.000503775,0.00211786,0.000262781,0.00215646,-0.000542384,1.22573,111.539,0.8087,3.3266
58,-3.33674,-0.789118,0.0533125,0.287221,-0.000518828,0.00195142,0.000205855,0.00198804,-0.00055546,0.986351,-2.96421,0.0873111,0.0712221,0.286451,-0.000506711,0.00215589,0.000264639,0.00219487,-0.000545693,1.21513,112.148,0.8287,3.3962
59,-3.33674,-0.789118,0.0537145,0.294893,-0.000521143,0.00198757,0.00020989,0.00202455,-0.000558117,1.00459,-2.96421,0.0873111,0.0717781,0.29403,-0.000508021,0.00218705,0.000267987,0.00222644,-0.000547411,1.21376,112.753,0.847,3.4638
60,-3.33674,-0.789118,0.0530556,0.302862,-0.000537911,0.00202248,0.000212277,0.00205996,-0.000575397,0.993696,-2.96421,0.0873111,0.0711446,0.302042,-0.000526661,0.00222854,0.00026975,0.00226837,-0.000566489,1.21637,113.352,0.8705,3.5401
